,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
50,Carteret,300.0,200.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,40.582504,-74.22997
51,Cedar Grove,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.855854,-74.22898
52,Chatham,500.0,400.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.7332,-74.39735999999999
54,Chester,500.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,300.0,500.0,500.0,500.0,400.0,500.0,40.786549,-74.68799
55,Clark,400.0,400.0,400.0,500.0,500.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,40.620336,-74.30934
56,Clayton,100.0,300.0,200.0,300.0,300.0,300.0,400.0,300.0,300.0,400.0,400.0,400.0,300.0,400.0,39.655964000000004,-75.08736
57,Clementon,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,100.0,100.0,200.0,39.810485,-74.99574
58,Cliffside Park,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,40.82154,-73.98949
59,Clifton,200.0,200.0,200.0,200.0,300.0,500.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,40.879699,-74.14263000000001
60,Clinton,400.0,500.0,500.0,400.0,500.0,400.0,300.0,400.0,300.0,300.0,500.0,400.0,500.0,500.0,40.639546,-74.91292
61,Closter,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.971956,-73.96166
62,Collingswood,200.0,300.0,200.0,100.0,100.0,100.0,100.0,100.0,200.0,300.0,300.0,200.0,200.0,300.0,39.915263,-75.06401
63,Cranbury,400.0,300.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,500.0,400.0,500.0,500.0,500.0,40.306286,-74.52627
64,Cranford,400.0,400.0,500.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,40.656302000000004,-74.30371
65,Cresskill,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.942074,-73.96504
66,Deal,200.0,200.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,200.0,200.0,40.250104,-74.00153
67,Demarest,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.955603,-73.96044
68,Dover,200.0,200.0,200.0,300.0,300.0,300.0,200.0,300.0,400.0,300.0,400.0,400.0,400.0,400.0,40.889165999999996,-74.55462
69,Dumont,500.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,40.945173,-73.99342
70,Dunellen,300.0,400.0,300.0,300.0,300.0,200.0,300.0,200.0,400.0,200.0,400.0,500.0,300.0,400.0,40.594502,-74.47166
71,East Brunswick,400.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,40.434239,-74.40504
73,East Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,200.0,40.770933,-74.20589
74,East Rutherford,200.0,200.0,300.0,300.0,400.0,300.0,300.0,300.0,400.0,500.0,500.0,400.0,400.0,400.0,40.830158000000004,-74.09707
75,Eatontown,200.0,100.0,200.0,100.0,100.0,100.0,100.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,40.301978999999996,-74.06889
76,Edgewater,400.0,300.0,400.0,400.0,300.0,300.0,400.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,40.830733,-73.97334000000001
77,Edison,300.0,200.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,40.516104,-74.39754
78,Egg Harbor City,200.0,300.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,100.0,200.0,200.0,100.0,200.0,39.548049,-74.62171
79,Elizabeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.669502,-74.19889
80,Elmer,500.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,39.553504,-75.16843
81,Elmwood Park,300.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,300.0,300.0,400.0,400.0,40.905639,-74.1199
82,Emerson,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.97514,-74.02725
83,Englewood Cliffs,400.0,400.0,400.0,400.0,400.0,500.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,400.0,40.883749,-73.95173
84,Englewood,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,200.0,300.0,300.0,400.0,300.0,300.0,40.893343,-73.9758
85,Englishtown,500.0,500.0,400.0,500.0,500.0,300.0,400.0,500.0,400.0,300.0,300.0,400.0,200.0,300.0,40.294244,-74.34213000000001
86,Essex Fells,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,300.0,500.0,500.0,500.0,500.0,500.0,40.827498999999996,-74.28090999999999
88,Fair Haven,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.360580999999996,-74.03738
89,Fair Lawn,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,400.0,400.0,400.0,400.0,400.0,40.933943,-74.11671
90,Fairfield,200.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,300.0,400.0,300.0,300.0,40.879049,-74.29378
91,Fairview,200.0,200.0,200.0,200.0,300.0,300.0,300.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,40.816736999999996,-74.00081999999999
92,Fanwood,400.0,500.0,400.0,400.0,400.0,500.0,400.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,40.641852,-74.38533000000001
93,Far Hills,500.0,400.0,400.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,200.0,500.0,500.0,400.0,40.696601,-74.63781
95,Flemington,300.0,300.0,100.0,0.0,200.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,40.515645,-74.85319
96,Florence,400.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,400.0,400.0,40.117909999999995,-74.8047
97,Florham Park,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,500.0,40.77835,-74.39009
98,Fort Lee,400.0,500.0,500.0,500.0,500.0,400.0,500.0,400.0,500.0,500.0,500.0,400.0,500.0,500.0,40.849879,-73.97501
99,Franklin,400.0,400.0,400.0,300.0,400.0,300.0,300.0,300.0,400.0,300.0,400.0,400.0,500.0,300.0,41.11736,-74.58784
100,Franklin Lakes,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,41.010433,-74.20846999999999
101,Freehold,200.0,200.0,100.0,0.0,200.0,100.0,300.0,200.0,200.0,300.0,300.0,400.0,400.0,400.0,40.241036,-74.27629
102,Frenchtown,200.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,40.509997999999996,-75.03239
103,Garfield,300.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,40.879858,-74.10807
104,Garwood,400.0,400.0,400.0,500.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,40.650802,-74.32351
105,Gibbsboro,300.0,300.0,400.0,400.0,200.0,300.0,300.0,200.0,300.0,500.0,400.0,400.0,400.0,400.0,39.833847,-74.96899
106,Glassboro,0.0,0.0,0.0,200.0,200.0,300.0,300.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,39.700008000000004,-75.11950999999999
107,Glen Ridge,100.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,300.0,400.0,300.0,400.0,40.80495,-74.2047
108,Glen Rock,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.961109,-74.12576
109,Gloucester City,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,500.0,300.0,300.0,300.0,200.0,39.891113,-75.11836
110,Greenwich,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,300.0,400.0,400.0,400.0,39.402763,-75.3574
112,Hackensack,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,40.888678000000006,-74.0488
113,Hackettstown,400.0,300.0,400.0,300.0,400.0,400.0,400.0,500.0,400.0,400.0,400.0,400.0,500.0,500.0,40.861748,-74.83054
114,Haddon Heights,400.0,400.0,400.0,400.0,400.0,400.0,300.0,300.0,400.0,400.0,400.0,400.0,500.0,500.0,39.879129999999996,-75.06599
115,Haddonfield,400.0,300.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,39.895213,-75.04019
116,Haledon,400.0,400.0,300.0,300.0,300.0,200.0,200.0,300.0,300.0,300.0,300.0,200.0,300.0,400.0,40.945198,-74.18285999999999
117,Hamburg,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,41.156187,-74.57094000000001
118,Hammonton,300.0,300.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,39.625291,-74.77705
119,Harrington Park,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.989357,-73.97958
120,Harrison,100.0,100.0,200.0,200.0,300.0,300.0,100.0,100.0,200.0,300.0,300.0,300.0,200.0,200.0,40.745951,-74.15509
122,Hasbrouck Heights,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,40.86289,-74.07506
123,Haworth,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.958573,-73.98659
124,Hawthorne,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,500.0,500.0,40.957498,-74.15626999999999
125,Helmetta,500.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,300.0,400.0,500.0,500.0,500.0,500.0,40.37594,-74.41955
127,High Bridge,400.0,400.0,400.0,400.0,400.0,200.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.668594,-74.89241
128,Highland Park,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,400.0,40.500254,-74.4257
129,Highlands,300.0,400.0,400.0,400.0,400.0,300.0,300.0,300.0,400.0,400.0,400.0,500.0,500.0,500.0,40.404474,-73.9904
130,Hightstown,300.0,200.0,300.0,300.0,400.0,400.0,300.0,500.0,200.0,400.0,400.0,400.0,400.0,500.0,40.262809000000004,-74.53246
131,Hillsdale,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,41.007389,-74.04247
132,Hillside,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,300.0,40.695552,-74.22856
133,Ho Ho Kus,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,41.001695,-74.10239
134,Hoboken,100.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,40.744851000000004,-74.03294
135,Hopatcong,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,40.937206,-74.66147
136,Hopewell,400.0,500.0,400.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,40.386902,-74.78112
138,Irvington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.725651,-74.23207
139,Island Heights,500.0,500.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,400.0,39.942615999999994,-74.14689
141,Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,40.73276,-74.075485
142,Keansburg,200.0,100.0,200.0,200.0,200.0,200.0,100.0,100.0,300.0,300.0,300.0,300.0,200.0,300.0,40.444407,-74.13298
143,Kearny,200.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,40.763051000000004,-74.13718
144,Kenilworth,400.0,400.0,400.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,400.0,400.0,300.0,400.0,40.674652,-74.2908
145,Keyport,300.0,300.0,300.0,400.0,500.0,400.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,40.439714,-74.19374
148,Lakehurst,200.0,300.0,300.0,100.0,300.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,500.0,300.0,40.017117,-74.30490999999999
149,Lakewood,200.0,200.0,200.0,200.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,40.082782,-74.2094
150,Lambertville,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,300.0,400.0,400.0,40.375039,-74.93184000000001
152,Lavallette,500.0,500.0,300.0,300.0,200.0,300.0,200.0,200.0,400.0,400.0,400.0,400.0,400.0,500.0,39.982101,-74.06768000000001
153,Lawnside,0.0,100.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,100.0,100.0,0.0,100.0,100.0,39.866513,-75.03197
154,Lebanon,400.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.643314000000004,-74.82345
155,Leonia,400.0,500.0,400.0,500.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,40.862685,-73.98550999999999
156,Lincoln Park,400.0,500.0,400.0,500.0,500.0,500.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,40.923233,-74.29375999999999
157,Linden,100.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,40.633953000000005,-74.25339
159,Linwood,400.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,400.0,400.0,39.348616,-74.57387
160,Little Falls,200.0,100.0,200.0,200.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,40.886628,-74.21405
161,Little Ferry,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,400.0,500.0,400.0,500.0,40.850621000000004,-74.04111999999999
162,Little Silver,400.0,500.0,400.0,400.0,400.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,40.33517,-74.04059000000001
163,Livingston,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,400.0,500.0,400.0,40.788733,-74.32134
165,Lodi,300.0,400.0,400.0,400.0,400.0,400.0,400.0,300.0,400.0,300.0,400.0,400.0,300.0,400.0,40.877998999999996,-74.08265
166,Long Branch,200.0,100.0,300.0,200.0,200.0,200.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,40.297932,-73.99096999999999
167,Longport,500.0,300.0,400.0,500.0,400.0,400.0,300.0,400.0,500.0,400.0,500.0,400.0,300.0,500.0,39.314766,-74.52675
168,Madison,400.0,400.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.75875,-74.41609
169,Magnolia,200.0,200.0,100.0,0.0,100.0,100.0,200.0,200.0,100.0,200.0,300.0,300.0,200.0,300.0,39.85478,-75.03671
170,Manasquan,300.0,300.0,200.0,200.0,300.0,300.0,200.0,200.0,400.0,300.0,300.0,400.0,400.0,400.0,40.120261,-74.05765
171,Mantoloking,300.0,300.0,300.0,200.0,300.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,300.0,100.0,40.025258,-74.05579
172,Manville,300.0,400.0,400.0,400.0,400.0,300.0,400.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,40.538903000000005,-74.59222
173,Maplewood,100.0,200.0,300.0,300.0,300.0,200.0,300.0,300.0,300.0,300.0,400.0,400.0,300.0,400.0,40.728901,-74.26821
174,Margate City,400.0,400.0,400.0,400.0,300.0,400.0,300.0,300.0,300.0,200.0,200.0,200.0,300.0,300.0,39.329415999999995,-74.50661
175,Matawan,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,40.411102,-74.23767
176,Maywood,500.0,500.0,500.0,400.0,500.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,40.90503,-74.06279
178,Mendham,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.782767,-74.59529
179,Merchantville,300.0,300.0,300.0,400.0,400.0,400.0,300.0,300.0,200.0,300.0,200.0,400.0,300.0,400.0,39.949979,-75.05024
180,Metuchen,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,40.543354,-74.3587
181,Middlesex,500.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,500.0,500.0,500.0,40.574552000000004,-74.50187
182,Midland Park,500.0,500.0,500.0,400.0,500.0,400.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,40.993120000000005,-74.14286
183,Millburn,300.0,200.0,300.0,300.0,300.0,300.0,200.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,40.724168,-74.29913
184,Milltown,300.0,300.0,400.0,400.0,300.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,400.0,40.451105,-74.43938
185,Millville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.379382,-75.03923
186,Monmouth Beach,500.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,300.0,400.0,500.0,40.332877,-73.97986
187,Montclair,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,300.0,400.0,40.81315,-74.21576
188,Montvale,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,41.048997,-74.04052
189,Moonachie,300.0,300.0,200.0,300.0,300.0,300.0,400.0,300.0,300.0,300.0,300.0,400.0,300.0,300.0,40.841668,-74.059
190,Morris Plains,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,40.842399,-74.48223
191,Morristown,0.0,0.0,100.0,100.0,200.0,200.0,100.0,200.0,200.0,300.0,300.0,300.0,300.0,400.0,40.79215,-74.48559
192,Mount Arlington,500.0,400.0,500.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.919498,-74.63559000000001
193,Mount Ephraim,200.0,0.0,100.0,200.0,200.0,100.0,100.0,200.0,200.0,200.0,300.0,200.0,200.0,200.0,39.884263,-75.0923
194,Mountain Lakes,400.0,400.0,400.0,400.0,400.0,400.0,300.0,500.0,500.0,500.0,500.0,500.0,400.0,500.0,40.892021,-74.44022
195,Mountainside,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.680301,-74.35601
196,National Park,300.0,200.0,300.0,100.0,200.0,300.0,200.0,100.0,300.0,400.0,300.0,400.0,400.0,500.0,39.867158,-75.1802
198,Netcong,300.0,200.0,300.0,0.0,300.0,400.0,400.0,300.0,300.0,400.0,400.0,400.0,300.0,400.0,40.897397999999995,-74.70300999999999
199,New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.488304,-74.44775
200,New Milford,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.936211,-74.0188
201,New Providence,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.698268,-74.40225
202,Newark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,40.736101,-74.22509000000001
203,Newfield,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,400.0,500.0,500.0,39.562763000000004,-75.00955
