Rank (of 406),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
45,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,No,(n/a),No,No,(201) 387-3000
46,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,No,(n/a),No,Yes,(201) 327-8700
47,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,No,(n/a),No,Yes,(201) 794-5455
48,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8600
49,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,No,(n/a),No,No,(609) 806-4280
50,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,No,(n/a),No,Yes,(908) 782-5727
51,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,No,(n/a),No,No,(201) 573-6000
52,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,No,(n/a),No,Yes,(732) 321-8744
53,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,No,(n/a),No,No,(908) 231-8660
54,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,Yes,(n/a),No,Yes,(732) 649-3954
55,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,No,(n/a),No,Yes,(973) 535-8000
56,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,No,(n/a),No,No,(973) 835-7100
57,John F. Scarpa Technical Education Center of Cumberland Coun,Public,12-Sep,3400 College Drive,Vineland,8360,No,(n/a),No,Yes,(856) 451-9000
58,Gloucester County Institute of Technology,Public,12-Sep,1360 Tanyard Road,Sewell,8080,No,(n/a),No,Yes,(856) 468-1445
59,Monroe Township High School,Public,12-Sep,200 Schoolhouse Road,Monroe Township,8831,No,(n/a),No,Yes,(732) 521-2882
60,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,No,(n/a),No,Yes,(201) 302-5200
61,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,No,(n/a),No,No,(973) 543-2501
62,Glen Rock High School,Public,12-Sep,400 Hamilton Avenue,Glen Rock,7452,No,(n/a),No,No,(201) 445-7700
63,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,No,(n/a),No,Yes,(973) 263-7001
64,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,No,(n/a),No,Yes,(732) 899-1817
65,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,No,(n/a),No,Yes,(201) 599-7240
66,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,No,(n/a),No,No,(973) 361-2400
67,Hillsborough High School,Public,12-Sep,466 Raider Boulevard,Hillsborough,8844,No,(n/a),No,No,(908) 431-6600
68,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,No,(n/a),No,Yes,(908) 638-6116
69,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,No,(n/a),No,Yes,(201) 662-6801
70,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,No,(n/a),No,No,(201) 358-7020
71,South Plainfield High School,Public,12-Sep,200 Lake Street,South Plainfield,7080,No,(n/a),No,No,(908) 754-4620
72,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,No,(n/a),No,No,(973) 331-7100
73,Performing Arts Academy of the Ocean County Vocational Technical,Public,12-Sep,Route 547,Lakehurst,8733,No,(n/a),No,No,(732) 286-5678
74,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,No,(n/a),No,Yes,(201) 262-4447
75,Liberty High School,Public,12-Sep,299 Sip Avenue,Jersey City,7306,No,(n/a),No,Yes,(201) 714-4373
76,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,No,(n/a),No,No,(973) 317-2000
77,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,No,(n/a),No,Yes,(201) 261-7800
78,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,No,(n/a),No,No,(201) 262-0172
79,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,No,(n/a),No,No,(908) 709-6272
80,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,No,(n/a),No,No,(201) 785-2300
81,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,No,(n/a),No,No,(201) 664-0880
82,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,No,(n/a),No,No,(201) 891-1500
83,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,No,(n/a),No,No,(908) 789-4500
84,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,No,(n/a),No,No,(732) 705-5200
85,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,No,(n/a),No,Yes,(201) 585-4675
86,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,No,(n/a),No,No,(856) 424-2222
87,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,No,(n/a),No,Yes,(973) 664-2301
88,Passaic County Technical Institute,Public,12-Sep,45 Reinhardt Road,Wayne,7470,No,(n/a),No,Yes,(973) 790-6000
89,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,No,(n/a),No,Yes,(973) 317-2200
90,James Caldwell High School,Public,12-Sep,265 Westville Ave,West Caldwell,7006,No,(n/a),No,No,(973) 228-6981
91,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,No,(n/a),No,No,(609) 632-0950
92,Rancocas Valley Regional High School,Public,12-Sep,520 Jacksonville Road,Mount Holly,8060,No,(n/a),No,Yes,(609) 267-0830
93,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,No,(n/a),No,No,(908) 852-8150
94,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,No,(n/a),No,Yes,(201) 337-0100
95,Elizabeth High School - Frank J Cicarell Academy,Public,12-Sep,40 Morrell Street,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-5870
96,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,No,(n/a),No,Yes,(856) 778-6610
97,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,No,(n/a),No,Yes,(201) 631-6302
98,Point Pleasant Borough High School,Public,12-Sep,Laura Herbert Dr,Point Pleasant Beach,8742,No,(n/a),No,No,(732) 701-1900
99,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,No,(n/a),No,No,(732) 617-8393
100,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,No,(n/a),No,No,(732) 329-4044
101,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,No,(n/a),No,No,(609) 737-4003
102,Ridgefield Memorial High School,Public,12-Sep,555 Walnut St,Ridgefield,7657,No,(n/a),No,No,(201) 945-4455
103,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,No,(n/a),No,Yes,(732) 842-8000
104,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,No,(n/a),No,Yes,(856) 223-2790
105,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,No,(n/a),No,Yes,(609) 259-7292
106,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,No,(n/a),No,No,(973) 664-2201
107,Sparta High School,Public,12-Sep,70 West Mountain Road,Sparta,7871,No,(n/a),No,Yes,(973) 729-6191
108,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,No,(n/a),No,No,(908) 630-3000
109,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,No,(n/a),No,No,(201) 652-9000
110,Middlesex High School,Public,12-Sep,300 John F. Kennedy Drive,Middlesex,8846,No,(n/a),No,No,(732) 317-6000
111,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,No,(n/a),No,No,(973) 239-6400
112,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,No,(n/a),No,No,(973) 509-4100
113,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,No,(n/a),No,Yes,(908) 526-8900
114,Manasquan High School,Public,12-Sep,167 Broad Street,Manasquan,8736,No,(n/a),No,No,(732) 528-8820
115,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,No,(n/a),No,No,(201) 358-7060
116,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,No,(n/a),No,Yes,(609) 567-7000
117,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,No,(n/a),No,No,(973) 682-2815
118,Jefferson Township High School,Public,12-Sep,1010 Weldon Rd Rd2,Oak Ridge,7438,No,(n/a),No,No,(973) 697-3535
119,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,No,(n/a),No,No,(732) 706-6111
120,Lodi High School,Public,12-Sep,99 Putnam Street,Lodi,7644,No,(n/a),No,Yes,(973) 478-6100
121,Columbia High School,Public,12-Sep,17 Parker Ave,Maplewood,7040,No,(n/a),No,No,(973) 762-5600
122,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,No,(n/a),No,No,(973) 571-6750
123,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,No,(n/a),No,No,(908) 454-3400
124,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,No,(n/a),No,Yes,(973) 616-6000
125,Lakeland Regional High School,Public,12-Sep,205 Conklintown Road,Wanaque,7465,No,(n/a),No,Yes,(973) 835-1900
126,East Orange STEM Academy High School,Public,12-Jun,129 Renshaw Avenue,East Orange,7017,No,(n/a),No,Yes,(973) 266-5900
127,Cresskill High School,Public,12-Sep,1 Lincoln Dr,Cresskill,7626,No,(n/a),No,No,(201) 227-7791
128,Spotswood High School,Public,12-Sep,105 Summerhill Road,Spotswood,8884,No,(n/a),No,No,(732) 723-2200
129,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,No,(n/a),No,Yes,(201) 444-7400
130,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,Yes,(n/a),No,Yes,(201) 773-9140
131,Somerville High School,Public,12-Sep,222 Davenport St.,Somerville,8876,No,(n/a),No,No,(908) 218-4108
132,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,No,(n/a),No,Yes,(201) 974-2033
133,Bogota Junior/Senior High School,Public,12-Jul,2 Henry C Luthin Place,Bogota,7603,No,(n/a),No,No,(201) 441-4808
134,Butler High School,Public,12-Sep,38 Bartholdi Avenue,Butler,7405,No,(n/a),No,Yes,(973) 492-2000
135,Haddon Township High School,Public,12-Sep,406 Memorial Avenue,Westmont,8108,No,(n/a),No,No,(856) 869-7750
136,Wallington Junior Senior High School,Public,12-Jul,234 Main Ave,Wallington,7057,No,(n/a),No,No,(973) 777-0808
137,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,No,(n/a),No,Yes,(201) 385-8600
138,Cicely L. Tyson Community Middle/High School,Public,12-Jun,35 Winans Street,East Orange,7017,No,(n/a),No,Yes,(973) 414-8600
139,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,No,(n/a),No,Yes,(609) 927-4151
140,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,No,(n/a),No,Yes,(732) 872-0900
141,Bard Early College High School,Public,12-Sep,321 Bergen Street,Newark,7103,No,(n/a),No,Yes,(212) 995-8479
142,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,No,(n/a),No,Yes,(732) 946-1832
143,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,No,(n/a),No,No,(973) 764-2960
144,Wall High School,Public,12-Sep,1630 18th Ave,Wall,7719,No,(n/a),No,Yes,(732) 556-2040
145,Teaneck High School,Public,12-Sep,100 Elizabeth Ave,Teaneck,7666,No,(n/a),No,No,(201) 833-5400
146,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,No,(n/a),No,No,(201) 288-6150
147,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,No,(n/a),No,Yes,(856) 829-7770
148,West Essex High School,Public,12-Sep,65 West Greenbrook Rd,North Caldwell,7006,No,(n/a),No,Yes,(973) 228-1200
149,Highland Park High School,Public,12-Sep,102 North Fifth Avenue,Highland Park,8904,No,(n/a),No,Yes,(732) 572-2400
150,Rutherford High School,Public,12-Sep,56 Elliott Pl,Rutherford,7070,No,(n/a),No,No,(201) 438-7675
151,Shawnee High School,Public,12-Sep,600 Tabernacle Road,Medford,8055,No,(n/a),No,No,(609) 654-7544
152,Foundation Academy Charter School,"Public, Charter, Alternative",K-12,363 West State Street,Trenton,8608,Yes,(n/a),No,Yes,(609) 920-9200
153,Alexander Hamilton Preparatory Academy,Public,12-Sep,310 Cherry St,Elizabeth,7208,No,(n/a),No,Yes,(908) 436-6100
154,Whippany Park High School,Public,12-Sep,165 Whippany Road,Whippany,7981,No,(n/a),No,Yes,(973) 887-3004
155,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,No,(n/a),No,Yes,(908) 464-3100
156,Monmouth Regional High School,Public,12-Sep,One Norman J Field Way,Tinton Falls,7724,No,(n/a),No,Yes,(732) 542-1170
157,Jonathan Dayton High School,Public,12-Sep,139 Mountain Ave.,Springfield,7081,No,(n/a),No,Yes,(973) 376-1025
158,Watchung Hills Regional High School,Public,12-Sep,108 Stirling Rd.,Warren,7059,No,(n/a),No,Yes,(908) 647-4800
159,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,No,(n/a),No,Yes,(856) 784-4441
160,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,No,(n/a),No,No,(201) 896-2100
161,Toms River High School East,Public,12-Sep,1225 Raider Way,Toms River,8753,No,(n/a),No,No,(732) 505-5665
162,Lenape High School,Public,12-Sep,235 Hartford Road,Medford,8055,No,(n/a),No,Yes,(609) 654-5111
163,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,No,(n/a),No,No,(856) 983-5140
164,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,No,(n/a),No,No,(732) 792-7200
165,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,No,(n/a),No,No,(732) 505-5702
166,Lawrence High School,Public,12-Sep,2525 Princeton Pike,Lawrenceville,8648,No,(n/a),No,No,(609) 671-5510
167,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,No,(n/a),No,Yes,(732) 222-9300
168,North Warren Regional School,Public,12-Jul,10 Noe Rd,Blairstown,7825,No,(n/a),No,Yes,(908) 362-8211
169,Nutley High School,Public,12-Sep,300 Franklin Ave,Nutley,7110,No,(n/a),No,Yes,(973) 661-8824
170,Colts Neck High School,Public,12-Sep,59 Five Points Road,Colts Neck,7722,No,(n/a),No,No,(732) 761-0190
171,Hackensack High School,Public,12-Sep,First & Beech Streets,Hackensack,7601,No,(n/a),No,Yes,(201) 646-7900
172,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8360
173,Old Bridge High School,Public,12-Sep,4209 Route 516,Matawan,7747,No,(n/a),No,No,(732) 290-3900
174,Pinelands Regional High School,Public,12-Oct,565 Nugentown Road,Little Egg Harbor,8087,No,(n/a),No,No,(609) 296-3106
175,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,No,(n/a),No,No,(732) 613-6904
176,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,No,(n/a),No,Yes,(973) 412-2204
177,Freehold Township High School,Public,12-Sep,281 Elton Adelphia Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8460
178,Collingswood High School,Public,12-Sep,424 Collings Ave,Collingswood,8108,No,(n/a),No,Yes,(856) 962-5701
179,New Egypt High School,Public,12-Sep,117 Evergreen Road,New Egypt,8533,No,(n/a),No,Yes,(609) 758-6800
180,Union City High School,Public,12-Sep,2500 Kennedy Blvd,Union City,7087,No,(n/a),No,Yes,(201) 330-8678
181,Bayonne High School,Public,12-Sep,669 Avenue A,Bayonne,7002,No,(n/a),No,No,(201) 858-5900
182,Ocean City High School,Public,12-Sep,501 Atlantic Avenue,Ocean City,8226,No,(n/a),No,No,(609) 399-1290
183,Piscataway Township High School,Public,12-Sep,100 Behmer Road,Piscataway,8854,No,(n/a),No,Yes,(732) 981-0700
184,Florence Township Memorial High School,Public,12-Sep,1050 Cedar Lane,Burlington,8016,No,(n/a),No,Yes,(609) 499-4620
185,Southern Regional High School,Public,12-Sep,90 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,Yes,(609) 597-9481
186,Manville High School,Public,12-Sep,1100 Brooks Boulevard,Manville,8835,No,(n/a),No,No,(908) 231-6806
187,Lenape Valley Regional High School,Public,12-Sep,28 Sparta Road,Stanhope,7874,No,(n/a),No,Yes,(973) 347-7600
188,Atlantic County Institute of Technology,Public,12-Sep,5080 Atlantic Avenue,Mays Landing,8330,No,(n/a),No,Yes,(609) 625-2249
189,Hightstown High School,Public,12-Sep,25 Leshin Lane,Hightstown,8520,No,(n/a),No,Yes,(609) 443-7738
190,Woodstown High School,Public,12-Sep,140 East Avenue,Woodstown,8098,No,(n/a),No,Yes,(856) 769-0144
191,Roselle Park High School,Public,12-Sep,185 W Webster Ave,Roselle Park,7204,No,(n/a),No,Yes,(908) 241-4550
192,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,No,(n/a),No,No,(609) 653-0100
193,Absegami High School,Public,12-Sep,201 S Wrangleboro Road,Galloway,8205,No,(n/a),No,Yes,(609) 652-1372
194,Franklin High School,Public,12-Sep,500 Elizabeth Avenue,Somerset,8873,No,(n/a),No,No,(732) 302-4200
195,Dover High School,Public,12-Sep,100 Grace Street,Dover,7801,No,(n/a),No,Yes,(973) 989-2010
196,Kingsway Regional High School,Public,12-Sep,201 Kings Highway,Woolwich Twp,8085,No,(n/a),No,Yes,(856) 467-3300
197,Dwight Morrow High School/Academies@Englewood,Public,12-Sep,274 Knickerbocker Rd,Englewood,7631,No,(n/a),No,Yes,(201) 862-6039
198,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,No,(n/a),No,Yes,(732) 650-5200
199,Rumson-Fair Haven Regional High School,Public,12-Sep,74 Ridge Road,Rumson,7760,No,(n/a),No,Yes,(732) 842-1597
200,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,No,(n/a),No,No,(732) 602-8650
201,Pitman High School,Public,12-Sep,225 Linden Avenue,Pitman,8071,No,(n/a),No,No,(856) 589-2121
202,Burlington County Institute of Technology - Westampton,Public,12-Sep,695 Woodlane Road,Westampton,8060,No,(n/a),No,Yes,(609) 267-4226
203,Wood-Ridge Junior/Senior High School,Public,12-Jul,258 Hackensack St,Wood Ridge,7075,No,(n/a),No,Yes,(201) 933-6777
204,High Point Regional High School District,Public,12-Sep,299 Pidgeon Hill Road,Sussex,7461,No,(n/a),No,Yes,(973) 875-3101
205,Boonton High School,Public,12-Sep,306 Lathrop Avenue,Boonton,7005,No,(n/a),No,Yes,(973) 335-9700
206,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,Yes,(n/a),No,Yes,(973) 565-9170
207,Ridgefield Park Junior Senior High School,Public,12-Jul,1 Ozzie Nelson Drive,Ridgefield Park,7660,No,(n/a),No,Yes,(201) 440-1440
208,Brick Township Memorial High School,Public,12-Sep,2001 Lanes Mill Rd,Brick,8724,No,(n/a),No,No,(732) 785-3000
209,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,No,(n/a),No,No,(973) 584-1200
210,Union County TEAMS Charter School,"Public, Charter, Alternative",K-12,515 517 West Fourth Street,Plainfield,7060,Yes,(n/a),No,Yes,(908) 754-9043
211,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,No,(n/a),No,No,(973) 887-0300
212,Belvidere High School,Public,12-Sep,809 Oxford Street,Belvidere,7823,No,(n/a),No,Yes,(908) 475-4025
213,Lower Cape May Regional High School,Public,12-Sep,687 Rt 9,Cape May,8204,No,(n/a),No,Yes,(609) 884-3475
214,Newton High School,Public,12-Sep,44 Ryerson Avenue,Newton,7860,No,(n/a),No,No,(973) 383-7573
215,West Orange High School,Public,12-Sep,51 Conforti Ave,West Orange,7052,No,(n/a),No,No,(973) 669-5301
216,Seneca High School,Public,12-Sep,110 Carranza Road,Tabernacle,8088,No,(n/a),No,Yes,(609) 268-4600
217,North Arlington High School,Public,12-Sep,222 Ridge Road,North Arlington,7031,No,(n/a),No,Yes,(201) 991-6800
218,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,No,(n/a),No,No,(908) 689-3050
219,Wallkill Valley Regional High School,Public,12-Sep,10 Grumm Road,Hamburg,7419,No,(n/a),No,Yes,(973) 827-4100
220,Howell High School,Public,12-Sep,405 Squankum Yellowbrook Road,Farmingdale,7727,No,(n/a),No,No,(732) 919-2131
221,South River High School,Public,12-Sep,11 Montgomery Street,South River,8882,No,(n/a),No,Yes,(732) 613-4014
222,Northern Burlington County Regional High School,Public,12-Sep,160 Mansfield Road East,Columbus,8022,No,(n/a),No,Yes,(609) 298-3900
223,Carteret High School,Public,12-Sep,199 Washington Avenue,Carteret,7008,No,(n/a),No,No,(732) 541-8960
224,Arts High School,Public,12-Jul,550 M L King Blvd,Newark,7102,No,(n/a),No,Yes,(973) 733-7391
