Rank (of 402),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
232,Audubon Junior/Senior High School,Public,7/12,350 Edgewood Avenue,Audubon,8106,No,(n/a),No,Yes,(856) 547-7695
233,Hopewell Valley Central High School,Public,9/12,259 Pennington Titusville Rd,Pennington,8534,No,(n/a),No,No,(609) 737-4003
234,Delsea Regional High School,Public,9/12,242 Fries Mill Rd,Franklinville,8322,No,(n/a),No,Yes,(856) 694-0100
235,Shore Regional High School,Public,9/12,132 Monmouth Park Highway 36,West Long Branch,7764,No,(n/a),No,Yes,(732) 222-9300
236,Arts High School,Public,7/12,550 M L King Blvd,Newark,7102,No,(n/a),No,Yes,(973) 733-7391
237,Jackson Liberty High School,Public,9/12,125 North Hope Chapel Road,Jackson,8527,No,(n/a),No,No,(732) 833-4700
238,North Arlington High School,Public,9/12,222 Ridge Road,North Arlington,7031,No,(n/a),No,Yes,(201) 991-6800
239,West Milford High School,Public,9/12,67 Highlander Drive,West Milford,7480,No,(n/a),No,No,(973) 838-6515
240,Cedar Creek High School,Public,9/12,1701 New York Ave.,Egg Harbor City,8215,No,(n/a),No,Yes,(609) 593-3560
241,American History High School,Public,7/12,74 Montgomery St,Newark,7103,No,(n/a),No,Yes,(973) 733-7333
242,Chartertech High School for the Performing Arts,"Public, Charter",9/12,413 New Road,Somers Point,8244,Yes,(n/a),No,Yes,(609) 926-7694
243,Wood-Ridge Junior/Senior High School,Public,7/12,258 Hackensack St,Wood Ridge,7075,No,(n/a),No,Yes,(201) 933-6777
244,Lawrence High School,Public,9/12,2525 Princeton Pike,Lawrenceville,8648,No,(n/a),No,No,(609) 671-5510
245,School of Health Science,Public,9/12,5-7 Colt St,Paterson,7505,No,(n/a),No,Yes,(973) 321-0560
246,Raritan High School,Public,9/12,419 Middle Road,Hazlet,7730,No,(n/a),No,No,(732) 264-8411
247,Boonton High School,Public,9/12,306 Lathrop Avenue,Boonton,7005,No,(n/a),No,Yes,(973) 335-9700
248,Sussex County Technical School,Public,9/12,105 North Church Road,Sparta,7871,No,(n/a),No,Yes,(973) 383-6700
249,Manasquan High School,Public,9/12,167 Broad Street,Manasquan,8736,No,(n/a),No,No,(732) 528-8820
250,Brick Township Memorial High School,Public,9/12,2001 Lanes Mill Rd,Brick,8724,No,(n/a),No,No,(732) 785-3000
251,Woodbury Junior-Senior High School,Public,6/12,25 N. Broad Street,Woodbury,8096,No,(n/a),No,Yes,(856) 853-0123
252,Atlantic County Institute of Technology,Public,9/12,5080 Atlantic Avenue,Mays Landing,8330,No,(n/a),No,Yes,(609) 625-2249
253,Ocean City High School,Public,9/12,501 Atlantic Avenue,Ocean City,8226,No,(n/a),No,No,(609) 399-1290
254,Middlesex County Vocational School Perth Amboy,Public,9/12,457 High Street,Perth Amboy,8861,No,(n/a),No,Yes,(732) 376-6300
255,Middletown High School North,Public,9/12,63 Tindall Road,Middletown,7748,No,(n/a),No,No,(732) 706-6061
256,Camden County Technical School-GTC,Public,9/12,343 Berlin Cross Keys Road,Sicklerville,8081,No,(n/a),No,Yes,(856) 767-7000
257,William L Dickinson High School,Public,9/12,2 Palisade Ave,Jersey City,7306,No,(n/a),No,Yes,(201) 714-4400
258,Cliffside Park High School,Public,9/12,64 Riverview Avenue,Cliffside Park,7010,No,(n/a),No,No,(201) 313-2370
259,Kittatinny Regional High School,Public,7/12,77 Halsey Road,Newton,7860,No,(n/a),No,Yes,(973) 383-1800
260,Atlantic City High School,Public,9/12,1400 N Albany Avenue,Atlantic City,8401,No,(n/a),No,Yes,(609) 343-7300
261,Clifton High School,Public,9/12,333 Colfax Avenue,Clifton,7013,No,(n/a),No,No,(973) 470-2312
262,Essex County West Caldwell Technical,Public,9/12,620 Passaic Ave,West Caldwell,7006,No,(n/a),No,Yes,(973) 412-2205
263,Cherry Hill High School West,Public,9/12,2101 Chapel Ave.,Cherry Hill,8034,No,(n/a),No,Yes,(856) 663-8006
264,Barnegat High School,Public,9/12,180 Bengal Blvd,Barnegat,8005,No,(n/a),No,No,(609) 660-7510
265,Essex County Donald M. Payne Senior School of Technology,Public,9/12,498-544 West Market St,Newark,7107,No,(n/a),No,Yes,(973) 412-2203
266,Camden County Technical School-Pennsauken,Public,9/12,6008 Browning Road,Pennsauken,8109,No,(n/a),No,Yes,(856) 663-1040
267,Winslow Township High School,Public,9/12,10 Cooper Folly Road,Atco,8004,No,(n/a),No,Yes,(856) 767-1850
268,Toms River High School South,Public,9/12,55 Hyers Street,Toms River,8753,No,(n/a),No,No,(732) 505-5738
269,Deptford Township High School,Public,9/12,575 S Fox Run Rd,Deptford,8096,No,(n/a),No,Yes,(856) 232-2713
270,Millville Senior High School,Public,9/12,200 Wade Blvd,Millville,8332,No,(n/a),No,Yes,(856) 327-6040
271,Hamilton West-Watson,Public,9/12,2720 South Clinton Avenue,Hamilton,8610,No,(n/a),No,No,(609) 631-4168
272,Rosa L. Parks School of Fine and Performing Arts,Public,9/12,413 12th Avenue,Paterson,7514,No,(n/a),No,Yes,(973) 321-0520
273,Arthur P. Schalick High School,Public,9/12,718 Centerton Road,Pittsgrove,8318,No,(n/a),No,Yes,(856) 358-2054
274,Saddle Brook Middle/High School,Public,7/12,355 Mayhill Street,Saddle Brook,7663,No,(n/a),No,Yes,(201) 843-2880
275,North Plainfield Middle School,Public,9/12,34 Wilson Avenue,North Plainfield,7060,No,(n/a),No,No,(908) 769-6040
276,University High School,Public,7/12,55 Clinton Pl,Newark,7108,No,(n/a),No,Yes,(973) 374-3190
277,Clayton High School,Public,9/12,55 Pop Kramer Blvd,Clayton,8312,No,(n/a),No,Yes,(856) 881-8701
278,Union High School,Public,9/12,2350 North Third Street,Union,7083,No,(n/a),No,Yes,(908) 851-6500
279,Lindenwold High School,Public,9/12,801 Egg Harbor Road,Lindenwold,8021,No,(n/a),No,Yes,(856) 741-0320
280,Cumberland Regional High School,Public,9/12,90 Silver Lake Road,Bridgeton,8302,No,(n/a),No,Yes,(856) 451-9400
281,Gloucester City Junior Senior High School,Public,7/12,1300 Market Street,Gloucester City,8030,No,(n/a),No,Yes,(856) 456-7000
282,Dr. Charles E. Brimm Medical Arts High School,Public,9/12,1626 Copewood Street,Camden,8103,No,(n/a),No,Yes,(856) 966-2500
283,Academy of Law & Public Safety,Public,11/12,255 West End Avenue,Long Branch,7740,No,(n/a),No,No,(732) 229-2446
284,Washington Township High School,Public,9/12,519 Hurffville Crosskeys Rd,Sewell,8080,No,(n/a),No,No,(856) 589-8500
285,Hanover Park High School,Public,9/12,63 Mt Pleasant Avenue,East Hanover,7936,No,(n/a),No,No,(973) 887-0300
286,Warren County Vocational Technical School,Public,9/12,1500 Route 57,Washington,7882,No,(n/a),No,Yes,(908) 689-0122
287,Willliamstown High School,Public,9/12,700 N Tuckahoe Rd,Williamstown,8094,No,(n/a),No,No,(856) 262-8200
288,Burlington Township High School,Public,9/12,610 Fountain Avenue,Burlington,8016,No,(n/a),No,Yes,(609) 387-1713
289,Buena Regional High School,Public,9/12,125 Weymouth Road,Buena,8310,No,(n/a),No,No,(856) 697-2400
290,Hopatcong High School,Public,9/12,2A Windsor Ave,Hopatcong,7843,No,(n/a),No,No,(973) 398-8803
291,Creative Arts Morgan Village Academy,Public,6/12,990 Morgan Boulevard,Camden,8104,No,(n/a),No,Yes,(856) 966-6267
292,Keyport High School,Public,9/12,351 Broad Street,Keyport,7735,No,(n/a),No,Yes,(732) 212-6100
293,Bound Brook High School,Public,9/12,111 West Union Avenue,Bound Brook,8805,No,(n/a),No,No,(732) 652-7950
294,North Bergen High School,Public,9/12,7417 Kennedy Blvd,North Bergen,7047,No,(n/a),No,No,(201) 295-2800
295,Passaic County-Manchester Regional High School,Public,9/12,70 Church Street,Haledon,7508,No,(n/a),No,Yes,(973) 389-2821
296,New Brunswick High School,Public,9/12,1000 Somerset St,New Brunswick,8901,No,(n/a),No,Yes,(732) 745-5300
297,Peoples Preparatory Charter School,"Public, Charter",9/12,321 Bergen Street,Newark,7103,Yes,(n/a),No,Yes,(973) 622-1790
298,South Amboy Middle/High School,Public,6/12,200 Governor Harold G Hoffman,South Amboy,8879,No,(n/a),No,Yes,(732) 316-7669
299,Linden High School,Public,9/12,121 W St George Ave,Linden,7036,No,(n/a),No,No,(908) 486-5432
300,University Academy Charter High School,"Public, Charter",9/12,275 West Side Avenue,Jersey City,7305,Yes,(n/a),No,Yes,(201) 200-3200
301,Vineland Senior High School,Public,9/12,2880 E Chestnut Ave,Vineland,8360,No,(n/a),No,Yes,(856) 794-6800
302,Haddon Heights Junior/Senior High School,Public,7/12,301 Second Avenue,Haddon Heights,8035,No,(n/a),No,Yes,(856) 547-1920
303,Colts Neck High School,Public,9/12,59 Five Points Road,Colts Neck,7722,No,(n/a),No,No,(732) 761-0190
304,John F. Kennedy Memorial High School,Public,9/12,200 Washington Avenue,Iselin,8830,No,(n/a),No,No,(732) 602-8650
305,Belleville High School,Public,9/12,100 Passaic Ave,Belleville,7109,No,(n/a),No,Yes,(973) 532-5012
306,Wildwood High School,Public,9/12,4300 Pacific Ave,Wildwood,8260,No,(n/a),No,Yes,(609) 522-7922
307,Burlington City High School,Public,7/12,100 Blue Devil WAy,Burlington,8016,No,(n/a),No,Yes,(609) 387-5800
308,Triton Regional High School,Public,9/12,250 Schubert Ave,Runnemede,8078,No,(n/a),No,Yes,(856) 939-4500
309,Hillside High School,Public,9/12,1085 Liberty Ave,Hillside,7205,No,(n/a),No,Yes,(908) 352-7664
310,Kearny High School,Public,9/12,336 Devon St,Kearny,7032,No,(n/a),No,No,(201) 955-5050
311,Academy for Urban Leadership Charter School,"Public, Charter",7/12,612 Amboy Ave,Perth Amboy,8861,Yes,(n/a),No,Yes,(848) 203-3742
312,Paterson Charter School for Science/Technology,"Public, Charter, Alternative",K-12,196 West Railway Avenue,Paterson,7503,Yes,(n/a),No,Yes,(973) 247-0600
313,Pitman High School,Public,9/12,225 Linden Avenue,Pitman,8071,No,(n/a),No,No,(856) 589-2121
314,Timber Creek Regional High School,Public,9/12,501 Jarvis Road,Erial,8081,No,(n/a),No,No,(856) 232-9703
315,Wallkill Valley Regional High School,Public,9/12,10 Grumm Road,Hamburg,7419,No,(n/a),No,Yes,(973) 827-4100
316,Pennsville Memorial High School,Public,9/12,110 S Broadway,Pennsville,8070,No,(n/a),No,No,(856) 540-6200
317,James J Ferris High School,Public,9/12,35 Colgate St,Jersey City,7302,No,(n/a),No,Yes,(201) 915-6660
318,Perth Amboy High School,Public,9/12,300 Eagle Ave,Perth Amboy,8861,No,(n/a),No,Yes,(732) 376-6030
319,TEAM Academy Charter School,"Public, Charter, Alternative",K-12,60 Park Place,Newark,7102,Yes,(n/a),No,Yes,(973) 622-0905
320,Colonia High School,Public,9/12,East Street,Colonia,7067,No,(n/a),No,No,(732) 726-7060
321,Leap Academy University Charter School,"Public, Charter, Alternative",K-12,130 North Broadway,Camden,8102,Yes,(n/a),No,Yes,(856) 614-0400
322,Passaic High School No. 12,Public,9/12,170 Paulison Ave.,Passaic,7055,No,(n/a),No,Yes,(973) 470-5600
323,Sterling High School,Public,9/12,501 South Warwick Road,Somerdale,8083,No,(n/a),No,Yes,(856) 784-1333
324,Bridgeton High School,Public,9/12,111 N West Avenue,Bridgeton,8302,No,(n/a),No,Yes,(856) 455-8030
325,Marion P. Thomas Charter School,"Public, Charter, Alternative","PK, KG-12",88-108 Shipman Street,Newark,7102,Yes,(n/a),No,Yes,(973) 621-0060
326,Middlesex County Vocational School East Brunswick,Public,9/12,112 Rues Lane,East Brunswick,8816,No,(n/a),No,No,(732) 254-8700
327,Thomas Jefferson Arts Academy,Public,9/12,27 Martin Luther King Jr Plaza,Elizabeth,7201,No,(n/a),No,Yes,(908) 436-6767
328,Burlington County Institute of Technology - Medford,Public,9/12,10 Hawkin Road,Medford,8055,No,(n/a),No,Yes,(609) 654-0200
329,David Brearley Middle/High School,Public,7/12,401 Monroe Avenue,Kenilworth,7033,No,(n/a),No,No,(908) 931-9696
330,Lakewood High School,Public,9/12,855 Somerset Avenue,Lakewood,8701,No,(n/a),No,Yes,(732) 905-3500
331,Lacey Township High School,Public,9/12,73 Haines Street,Lanoka Harbor,8734,No,(n/a),No,No,(609) 971-2020
332,Highland Regional High School,Public,9/12,450 Erial Road,Blackwood,8012,No,(n/a),No,Yes,(609) 227-4100
333,International High School,Public,9/12,200 Grand Street,Paterson,7501,No,(n/a),No,Yes,(973) 321-2280
334,Henry Snyder High School,Public,9/12,239 Bergen Ave,Jersey City,7305,No,(n/a),No,Yes,(201) 915-6600
335,Long Branch High School,Public,9/12,404 Indiana Avenue,Long Branch,7740,No,(n/a),No,Yes,(732) 229-7300
336,Morristown High School,Public,9/12,50 Early Street,Morristown,7960,No,(n/a),No,No,(973) 292-2000
337,Gateway Regional High School,Public,7/12,775 Tanyard Rd,Woodbury Hts,8096,No,(n/a),No,Yes,(856) 848-8200
338,Glassboro High School,Public,9/12,560 Joseph L Bowe Blvd,Glassboro,8028,No,(n/a),No,Yes,(856) 652-2700
339,The Barack Obama Green Charter High School,"Public, Charter",9/12,35 Watchung ave,Plainfield,7060,Yes,(n/a),No,Yes,(877) 643-4064
340,Harrison High School,Public,9/12,401 Kingsland Avenue,Harrison,7029,No,(n/a),No,Yes,(973) 482-5050
341,Irvington High School,Public,9/12,1253 Clinton Ave,Irvington,7111,No,(n/a),No,Yes,(973) 399-6897
342,Palmyra High School,Public,7/12,5th & Weart Boulevard,Palmyra,8065,No,(n/a),No,Yes,(856) 786-9400
343,Middlesex County Vocational School Piscataway,Public,9/12,21 Suttons Lane,Piscataway,8854,No,(n/a),No,Yes,(732) 985-0717
344,Ewing High School,Public,9/12,900 Parkway Ave,Ewing,8618,No,(n/a),No,Yes,(609) 538-9800
345,Brick Township High School,Public,9/12,346 Chambers Bridge Rd,Brick,8723,No,(n/a),No,No,(732) 785-3000
346,Woodbridge High School,Public,9/12,25 Samuel Lupo Place,Woodbridge,7095,No,(n/a),No,No,(732) 602-8600
347,Newark Early College High School,Public,7/12,403 South Orange Avenue,Newark,7103,No,(n/a),No,Yes,(973) 733-8301
348,School Of Science Technology Engineering And Mathematics,Public,9/12,61-127 Preakness Avenue,Paterson,7502,No,(n/a),No,Yes,(973) 321-0500
349,Delran High School,Public,9/12,50 Hartford Road,Delran,8075,No,(n/a),No,No,(856) 461-6100
350,Middle Township High School,Public,9/12,300 East Atlantic Avenue,Cape May Court House,8210,No,(n/a),No,Yes,(609) 465-1852
351,Pinelands Regional High School,Public,10/12,565 Nugentown Road,Little Egg Harbor,8087,No,(n/a),No,No,(609) 296-3106
352,Manchester Township High School,Public,9/12,101 S Colonial Dr,Manchester,8759,No,(n/a),No,No,(732) 657-2121
353,Bordentown Regional High School,Public,9/12,318 Ward Ave,Bordentown,8505,No,(n/a),No,No,(609) 298-0025
354,School of Government and Public Administration,Public,9/12,150 Park Avenue,Paterson,7501,No,(n/a),No,Yes,(973) 321-2488
355,Lincoln High School,Public,9/12,60 Crescent Ave,Jersey City,7304,No,(n/a),No,Yes,(201) 915-6700
356,Pleasantville High School,Public,9/12,701 Mill Road,Pleasantville,8232,No,(n/a),No,Yes,(609) 383-6900
357,Salem High School,Public,9/12,219 Walnut St,Salem,8079,No,(n/a),No,Yes,(856) 935-3900
358,Abraham Clark High School,Public,9/12,122 East 6th Ave,Roselle,7203,No,(n/a),No,Yes,(908) 298-2000
359,Orange High School,Public,9/12,400 Lincoln Ave,Orange,7050,No,(n/a),No,Yes,(973) 677-4050
360,Hoboken High School,Public,9/12,Ninth & Clinton Sts,Hoboken,7030,No,(n/a),No,Yes,(201) 356-3701
361,Oakcrest High School,Public,9/12,1824 Dr Dennis Foreman Drive,Mays Landing,8330,No,(n/a),No,Yes,(609) 909-2600
362,Daylight/Twilight High School,Public,9/12,501 Edgewood Avenue,Trenton,8618,No,(n/a),No,Yes,(609) 656-4850
363,Memorial High School,Public,9/12,504 East Broad Street,Millville,8332,No,(n/a),No,Yes,(856) 327-6072
364,Pemberton Township High School,Public,9/12,148 Arneys Mount Road,Pemberton,8068,No,(n/a),No,No,(609) 893-8141
365,Rahway High School,Public,9/12,1012 Madison Ave,Rahway,7065,No,(n/a),No,No,(732) 396-1090
366,Paulo Freire Charter School,"Public, Charter",9/12,28 Burnet Street,Newark,7102,Yes,(n/a),No,No,(973) 733-9393
367,John E. Dwyer Technology Academy,Public,9/12,123 Pearl St,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-6565
368,Overbrook Senior High School,Public,9/12,1200 Turnersville Road,Pine Hill,8021,No,(n/a),No,Yes,(856) 767-8000
369,Keansburg High School,Public,9/12,140 Port Monmouth Road,Keansburg,7734,No,(n/a),No,No,(732) 787-2007
370,Penns Grove High School,Public,9/12,334 Harding Highway,Carneys Point,8069,No,(n/a),No,Yes,(856) 299-6300
371,Neptune High School,Public,9/12,55 Neptune Boulevard,Neptune,7753,No,(n/a),No,No,(732) 776-2200
372,School Of Culinary Arts Hospitality And Tourism,Public,9/12,150 Park Avenue,Paterson,7501,No,(n/a),No,Yes,(973) 321-2489
373,M.E.T.S. Charter School,"Public, Charter",6/12,211 Sherman Ave,Jersey City,7307,Yes,(n/a),No,Yes,(201) 526-8500
374,Hoboken Charter School,"Public, Charter, Alternative",K-12,713 Washington St,Hoboken,7030,Yes,(n/a),No,Yes,(201) 963-0222
375,East Side High School,Public,9/12,238 Van Buren St,Newark,7105,No,(n/a),No,Yes,(973) 465-4900
376,School Of Earth And Space Science,Public,9/12,201 Memorial Drive,Paterson,7505,No,(n/a),No,Yes,(973) 321-2290
377,Newark Prep Charter School,"Public, Charter",9/12,570 Broad St.,Newark,7102,Yes,(n/a),No,No,(862) 307-7010
378,School Of Education And Training,Public,9/12,61-127 Preakness Avenue,Paterson,7502,No,(n/a),No,Yes,(973) 321-0500
379,Admiral William F. Halsey Junior Health & Public Safety Academy,Public,9/12,641 South Street,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-6600
380,Trenton Central High School - Main Campus,Public,10/12,171 Division Street,Trenton,8611,No,(n/a),No,Yes,(609) 278-7260
381,School Of Information Technology,Public,9/12,150 Park Avenue,Paterson,7501,No,(n/a),No,Yes,(973) 321-2490
382,Plainfield High School,Public,9/12,950 Park Avenue,Plainfield,7060,No,(n/a),No,Yes,(908) 731-4390
383,Asbury Park High School,Public,9/12,1001 Sunset Avenue,Asbury Park,7712,No,(n/a),No,Yes,(732) 776-2638
384,Malcolm X Shabazz High School,Public,9/12,80 Johnson Ave,Newark,7108,No,(n/a),No,Yes,(973) 733-6974
385,Riverside High School,Public,9/12,112 E Washington Street,Riverside,8075,No,(n/a),No,No,(856) 461-1255
386,Camden Big Picture Learning Academy,Public,6/12,1725 Park Boulevard,Camden,8103,No,(n/a),No,Yes,(856) 966-5122
387,Paulsboro High School,Public,9/12,670 N Delaware St,Paulsboro,8066,No,(n/a),No,Yes,(856) 423-2222
388,Central High School,Public,9/12,250 18th Avenue,Newark,7103,No,(n/a),No,Yes,(973) 733-6378
389,Thomas A. Edison Career and Technical Academy,Public,9/12,625 Summer St,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-6800
390,School of Business Technology Marketing and Finance,Public,9/12,61-127 Preakness Avenue,Paterson,7502,No,(n/a),No,Yes,(973) 321-0500
391,East Orange Campus High School,Public,9/12,344 Prospect Street,East Orange,7017,No,(n/a),No,Yes,(973) 266-7300
392,Barringer Arts High School,Public,9/12,90 Parker St,Newark,7104,No,(n/a),No,Yes,(973) 268-5125
393,Eagle Academy for Young Men of Newark,Public,5/12,279 Chancellor Avenue,Newark,7112,No,(n/a),No,Yes,(973) 733-1234
394,Weequahic High School,Public,9/12,279 Chancellor Ave,Newark,7112,No,(n/a),No,Yes,(973) 705-3923
395,Newark Vocational High School,Public,9/12,403 South Orange Avenue,Newark,7103,No,(n/a),No,Yes,(973) 733-7019
396,School Of Architecture And Construction Trades,Public,9/12,61-127 Preakness Avenue,Paterson,7502,No,(n/a),No,Yes,(973) 321-0500
397,Alternative High School,Public,6/12,350 Market Street,Paterson,7501,No,(n/a),No,No,(973) 321-0570
398,Willingboro High School,Public,9/12,20 Jfk Way,Willingboro,8046,No,(n/a),No,Yes,(609) 835-8800
399,Middlesex County Vocational School East Bruns. School of Career Develop,Public,9/12,112 Rues Lane,East Brunswick,8816,No,(n/a),No,No,(732) 257-7715
400,Woodrow Wilson High School,Public,9/12,3100 Federal Street,Camden,8105,No,(n/a),No,Yes,(856) 966-5300
401,Camden High School,Public,9/12,1875 Park Boulevard,Camden,8103,No,(n/a),No,Yes,(856) 966-5100
402,Academy Charter High School,"Public, Charter",9/12,1725 Main Street,Lake Como,7719,Yes,(n/a),No,Yes,(732) 681-8377
