,City,Lat,Lon,# of Sales,Avg Sale Price
214,EMERSON BORO,40.830733,-73.97334,58,"$503,333 "
215,ENGLEWOOD CITY,40.830733,-73.97334,210,"$572,061 "
216,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,52,"$1,418,425 "
217,FAIRLAWN BORO,40.827499,-74.28091,283,"$441,874 "
218,FAIRVIEW BORO,40.816737,-74.00082,78,"$413,306 "
219,FORT LEE BORO,40.849879,-73.97501,321,"$533,913 "
220,FRANKLIN LAKES BORO,40.849879,-73.97501,115,"$1,126,203 "
221,GARFIELD CITY,40.879858,-74.10807,148,"$351,322 "
222,GLEN ROCK BORO,40.80495,-74.2047,142,"$636,697 "
223,HACKENSACK CITY,40.80495,-74.2047,114,"$262,830 "
224,HARRINGTON PARK BORO,40.80495,-74.2047,34,"$617,663 "
225,HASBROUCK HGHTS BORO,40.745951,-74.15509,32,"$477,434 "
226,HAWORTH BORO,40.745951,-74.15509,38,"$743,868 "
227,HILLSDALE BORO,40.745951,-74.15509,91,"$509,485 "
228,HOHOKUS BORO,40.744851,-74.03294,35,"$909,643 "
229,LEONIA BORO,41.007389,-74.04247,88,"$514,764 "
230,LITTLE FERRY BORO,40.850621,-74.04112,22,"$328,748 "
231,LODI BORO,40.877999,-74.08265,151,"$384,799 "
232,LYNDHURST TWP,40.788599,-74.78295,131,"$386,802 "
233,MAHWAH TWP,40.788599,-74.78295,365,"$534,500 "
234,MAYWOOD BORO,40.502477,-74.650023,85,"$422,193 "
235,MIDLAND PARK BORO,40.574552,-74.50187,73,"$480,070 "
236,MONTVALE BORO,40.389428,-74.54329,93,"$650,272 "
237,MOONACHIE BORO,40.389428,-74.54329,6,"$454,583 "
238,NEW MILFORD BORO,40.51057,-74.72472,117,"$425,749 "
239,NORTH ARLINGTON BORO,40.51057,-74.72472,31,"$376,984 "
240,NORTHVALE BORO,40.51057,-74.72472,44,"$481,645 "
241,NORWOOD BORO,40.51057,-74.72472,55,"$618,692 "
242,OAKLAND BORO,40.51057,-74.72472,144,"$491,233 "
243,OLD TAPPAN BORO,40.51057,-74.72472,59,"$873,687 "
244,ORADELL BORO,40.681694,-74.73624,23,"$583,737 "
245,PALISADES PARK BORO,40.681694,-74.73624,175,"$592,298 "
246,PARAMUS BORO,40.681694,-74.73624,202,"$648,263 "
247,PARK RIDGE BORO,40.681694,-74.73624,77,"$513,711 "
248,RAMSEY BORO,40.565493,-74.938931,212,"$530,743 "
249,RIDGEFIELD BORO,40.563654,-74.949409,77,"$497,446 "
250,RIDGEFIELD PARK VILLAGE,40.563654,-74.949409,58,"$363,253 "
251,RIDGEWOOD VILLAGE,40.563654,-74.949409,286,"$877,502 "
252,RIVEREDGE BORO,40.563654,-74.949409,94,"$530,531 "
253,RIVERVALE TWP,40.563654,-74.949409,99,"$602,217 "
254,ROCHELLE PARK TWP,40.563654,-74.949409,50,"$364,616 "
255,ROCKLEIGH BORO,40.563654,-74.949409,2,"$1,810,000 "
256,RUTHERFORD BORO,40.563654,-74.949409,149,"$471,690 "
257,SADDLE BROOK TWP,40.563654,-74.949409,41,"$406,877 "
258,SADDLE RIVER BORO,40.563654,-74.949409,28,"$1,806,041 "
259,SO HACKENSACK TWP,40.430006,-74.417344,4,"$447,190 "
260,TEANECK TWP,40.500254,-74.4257,357,"$450,095 "
261,TENAFLY BORO,40.500254,-74.4257,131,"$914,817 "
262,TETERBORO BOR,40.500254,-74.4257,0,$0 
263,UPPER SADDLE RIV BORO,40.500254,-74.4257,111,"$912,111 "
264,WALDWICK BORO,40.500254,-74.4257,131,"$454,008 "
265,WALLINGTON BORO,40.500254,-74.4257,54,"$379,933 "
266,WASHINGTON TWP,40.500254,-74.4257,91,"$540,352 "
267,WESTWOOD BORO,40.500254,-74.4257,36,"$466,086 "
268,WOODCLIFF LAKE BORO,40.500254,-74.4257,17,"$718,176 "
269,WOOD RIDGE BORO,40.500254,-74.4257,64,"$406,764 "
270,WYCKOFF TWP,40.500254,-74.4257,190,"$770,169 "
301,BASS RIVER TWP,40.578996,-74.27987,4,"$335,500 "
302,BEVERLY CITY,40.666552,-74.11768,14,"$157,600 "
303,BORDENTOWN CITY,40.912798,-74.41516,50,"$227,278 "
304,BORDENTOWN TWP,40.912798,-74.41516,102,"$263,018 "
305,BURLINGTON CITY,40.912798,-74.41516,94,"$151,877 "
306,BURLINGTON TWP,40.912798,-74.41516,224,"$258,472 "
307,CHESTERFIELD TWP,40.855854,-74.22898,58,"$440,403 "
308,CINNAMINSON TWP,40.855854,-74.22898,203,"$276,360 "
309,DELANCO TWP,40.656302,-74.30371,51,"$225,278 "
310,DELRAN TWP,40.656302,-74.30371,153,"$253,408 "
311,EASTAMPTON TWP,40.770933,-74.20589,49,"$273,993 "
312,EDGEWATER PARK TWP,40.830733,-73.97334,83,"$180,156 "
313,EVESHAM TWP,40.827499,-74.28091,647,"$271,648 "
314,FIELDSBORO BORO,40.641852,-74.38533,7,"$186,071 "
315,FLORENCE TWP,40.641852,-74.38533,141,"$214,776 "
316,HAINESPORT TWP,40.80495,-74.2047,58,"$352,946 "
317,LUMBERTON TWP,40.788599,-74.78295,129,"$320,325 "
318,MANSFIELD TWP,40.788599,-74.78295,142,"$309,433 "
319,MAPLE SHADE TWP,40.502477,-74.650023,118,"$165,947 "
320,MEDFORD TWP,40.502477,-74.650023,285,"$380,976 "
321,MEDFORD LAKES BORO,40.502477,-74.650023,47,"$312,380 "
322,MOORESTOWN TWP,40.389428,-74.54329,233,"$541,993 "
323,MT HOLLY TWP,40.389428,-74.54329,112,"$184,132 "
324,MT LAUREL TWP,40.389428,-74.54329,728,"$253,281 "
325,NEW HANOVER TWP,40.51057,-74.72472,6,"$259,567 "
326,NO HANOVER TWP,40.51057,-74.72472,15,"$350,133 "
327,PALMYRA BORO,40.681694,-74.73624,90,"$155,401 "
328,PEMBERTON BORO,40.461851,-74.30343,16,"$225,588 "
329,PEMBERTON TWP,40.461851,-74.30343,237,"$175,862 "
330,RIVERSIDE TWP,40.563654,-74.949409,37,"$157,351 "
331,RIVERTON BORO,40.563654,-74.949409,24,"$285,696 "
332,SHAMONG TWP,40.430006,-74.417344,77,"$338,361 "
333,SOUTHAMPTON TWP,40.445006,-74.38179,188,"$225,796 "
334,SPRINGFIELD TWP,40.39159,-74.39329,20,"$361,425 "
335,TABERNACLE TWP,40.500254,-74.4257,61,"$300,261 "
336,WASHINGTON TWP,40.500254,-74.4257,1,"$160,000 "
337,WESTAMPTON TWP,40.500254,-74.4257,128,"$256,815 "
338,WILLINGBORO TWP,40.500254,-74.4257,257,"$165,895 "
339,WOODLAND TWP,40.500254,-74.4257,9,"$310,138 "
340,WRIGHTSTOWN BORO,40.500254,-74.4257,7,"$214,394 "
401,AUDUBON BORO,39.8909,-75.073,104,"$216,632 "
402,AUDUBON PARK BOR,39.8965,-75.0877,0,$0 
403,BARRINGTON BORO,40.578996,-74.27987,62,"$202,336 "
404,BELLMAWR BORO,40.666552,-74.11768,132,"$159,569 "
405,BERLIN BORO,40.666552,-74.11768,88,"$243,949 "
406,BERLIN TWP,40.666552,-74.11768,61,"$175,058 "
407,BROOKLAWN BORO,40.912798,-74.41516,24,"$111,279 "
408,CAMDEN CITY,40.848999,-74.27917,200,"$71,402 "
409,CHERRY HILL TWNSHP,40.855854,-74.22898,807,"$264,940 "
410,CHESILHURST BORO,40.855854,-74.22898,8,"$164,612 "
411,CLEMENTON BORO,40.855854,-74.22898,55,"$139,479 "
412,COLLINGSWOOD BORO,40.879699,-74.14263,151,"$227,068 "
413,GIBBSBORO BORO,40.650802,-74.32351,5,"$244,400 "
414,GLOUCESTER CITY,40.80495,-74.2047,84,"$106,336 "
415,GLOUCESTER TWP,40.80495,-74.2047,766,"$188,144 "
416,HADDON TWP,40.80495,-74.2047,129,"$248,701 "
417,HADDONFIELD BORO,40.80495,-74.2047,208,"$547,536 "
418,HADDON HEIGHTS BORO,40.80495,-74.2047,57,"$283,594 "
419,HI NELLA BORO,40.745951,-74.15509,5,"$151,600 "
420,LAUREL SPRINGS BORO,40.744851,-74.03294,20,"$170,320 "
421,LAWNSIDE BORO,40.744851,-74.03294,4,"$140,850 "
422,LINDENWOLD BORO,41.007389,-74.04247,98,"$111,119 "
423,MAGNOLIA BORO,40.788599,-74.78295,43,"$163,372 "
424,MERCHANTVILLE BORO,40.502477,-74.650023,30,"$191,313 "
425,MOUNT EPHRAIM BORO,40.389428,-74.54329,57,"$152,975 "
426,OAKLYN BORO,40.51057,-74.72472,57,"$188,280 "
427,PENNSAUKEN TWP,40.461851,-74.30343,202,"$150,109 "
428,PINE HILL BORO,40.689123,-75.17243,61,"$122,508 "
429,PINE VALLEY BOR,40.689123,-75.17243,0,$0 
430,RUNNEMEDE BORO,40.563654,-74.949409,64,"$157,513 "
431,SOMERDALE BORO,40.430006,-74.417344,51,"$168,812 "
432,STRATFORD BORO,40.500254,-74.4257,59,"$169,835 "
433,TAVISTOCK BOR,40.500254,-74.4257,0,$0 
434,VOORHEES TWP,40.500254,-74.4257,351,"$280,741 "
435,WATERFORD TWP,40.500254,-74.4257,104,"$189,140 "
436,WINSLOW TWP,40.500254,-74.4257,448,"$196,366 "
437,WOODLYNNE BORO,40.500254,-74.4257,14,"$116,607 "
501,AVALON BORO,39.1012,-74.7177,250,"$1,613,305 "
502,CAPE MAY CITY,40.848999,-74.27917,130,"$639,828 "
503,CAPE MAY POINT BORO,40.848999,-74.27917,14,"$707,718 "
504,DENNIS TWP,40.656302,-74.30371,42,"$270,857 "
505,LOWER TWP,40.788599,-74.78295,486,"$282,592 "
506,MIDDLE TWP,40.502477,-74.650023,249,"$312,904 "
507,NORTH WILDWOOD CITY,40.51057,-74.72472,343,"$302,092 "
508,OCEAN CITY CITY,40.51057,-74.72472,754,"$635,339 "
509,SEA ISLE CITY CITY,40.430006,-74.417344,238,"$758,276 "
510,STONE HARBOR BORO,40.500254,-74.4257,132,"$1,738,843 "
511,UPPER TWP,40.500254,-74.4257,148,"$316,657 "
512,WEST CAPE MAY BORO,40.500254,-74.4257,26,"$528,347 "
513,WEST WILDWOOD BORO,40.500254,-74.4257,21,"$275,662 "
514,WILDWOOD CITY,40.500254,-74.4257,279,"$233,065 "
515,WILDWOOD CREST BORO,40.500254,-74.4257,217,"$361,888 "
516,WOODBINE BORO,40.500254,-74.4257,4,"$138,875 "
601,BRIDGETON CITY,40.912798,-74.41516,68,"$98,491 "
602,COMMERCIAL TWP,40.879699,-74.14263,18,"$113,550 "
603,DEERFIELD TWP,40.656302,-74.30371,17,"$172,308 "
604,DOWNE TWP,40.656302,-74.30371,9,"$142,167 "
605,FAIRFIELD TWP,40.827499,-74.28091,9,"$167,167 "
606,GREENWICH TWP,40.80495,-74.2047,8,"$156,938 "
607,HOPEWELL TWP,40.744851,-74.03294,24,"$157,742 "
608,LAWRENCE TWP,40.744851,-74.03294,22,"$195,985 "
609,MAURICE RIVER TWP,40.502477,-74.650023,14,"$153,803 "
610,MILLVILLE CITY,40.451105,-74.43938,207,"$150,386 "
611,SHILOH BORO,40.430006,-74.417344,3,"$129,633 "
612,STOW CREEK TWP,40.500254,-74.4257,7,"$194,057 "
613,UPPER DEERFIELD TWP,40.500254,-74.4257,51,"$191,318 "
614,VINELAND CITY,40.500254,-74.4257,388,"$183,085 "
701,BELLEVILLE TWP,40.666552,-74.11768,97,"$281,286 "
702,BLOOMFIELD TWP,40.803,-74.18895,407,"$351,074 "
703,CALDWELL BORO TWP,40.848999,-74.27917,63,"$442,750 "
704,CEDAR GROVE TWP,40.855854,-74.22898,103,"$488,398 "
705,EAST ORANGE CITY,40.770933,-74.20589,250,"$221,583 "
706,ESSEX FELLS TWP,40.827499,-74.28091,18,"$992,389 "
707,FAIRFIELD TWP,40.827499,-74.28091,87,"$546,733 "
708,GLEN RIDGE BORO,40.80495,-74.2047,32,"$751,845 "
709,IRVINGTON TWP,40.744851,-74.03294,98,"$174,685 "
710,LIVINGSTON TWP,40.850621,-74.04112,352,"$670,857 "
711,MAPLEWOOD TWP,40.502477,-74.650023,316,"$601,270 "
712,MILLBURN TWP,40.587606,-75.10402,251,"$1,223,335 "
713,MONTCLAIR TWP,40.389428,-74.54329,451,"$734,115 "
714,NEWARK CITY,40.51057,-74.72472,764,"$250,631 "
715,NORTH CALDWELL TWP,40.51057,-74.72472,63,"$725,436 "
716,NUTLEY TWP,40.51057,-74.72472,259,"$409,887 "
717,ORANGE CITY TWP,40.681694,-74.73624,77,"$215,672 "
718,ROSELAND BORO,40.563654,-74.949409,38,"$523,803 "
719,SOUTH ORANGE VILLAGE TW,40.553803,-74.52976,233,"$634,803 "
720,VERONA TWP,40.500254,-74.4257,79,"$418,943 "
721,WEST CALDWELL TWP,40.500254,-74.4257,93,"$519,061 "
722,WEST ORANGE TWP,40.500254,-74.4257,453,"$426,857 "
801,CLAYTON BORO,40.855854,-74.22898,63,"$175,459 "
802,DEPTFORD TWP,40.656302,-74.30371,290,"$204,724 "
803,EAST GREENWICH TWP,40.656302,-74.30371,46,"$303,439 "
804,ELK TWP,40.830733,-73.97334,34,"$258,783 "
805,FRANKLIN TWP,40.849879,-73.97501,108,"$225,270 "
806,GLASSBORO BORO,40.650802,-74.32351,162,"$196,266 "
807,GREENWICH TWP,40.80495,-74.2047,41,"$165,480 "
808,HARRISON TWP,40.745951,-74.15509,119,"$360,634 "
809,LOGAN TWP,40.877999,-74.08265,67,"$246,189 "
810,MANTUA TWP,40.502477,-74.650023,164,"$228,780 "
811,MONROE TWP,40.389428,-74.54329,342,"$219,819 "
812,NATIONAL PARK BORO,40.389428,-74.54329,33,"$153,306 "
813,NEWFIELD BORO,40.51057,-74.72472,19,"$200,537 "
814,PAULSBORO BORO,40.461851,-74.30343,40,"$107,438 "
815,PITMAN BORO,40.689123,-75.17243,115,"$185,844 "
816,SO HARRISON TWP,40.430006,-74.417344,29,"$347,076 "
817,SWEDESBORO BORO,40.500254,-74.4257,30,"$193,968 "
818,WASHINGTON TWP,40.500254,-74.4257,549,"$229,460 "
819,WENONAH BORO,40.500254,-74.4257,18,"$298,983 "
820,WEST DEPTFORD TWP,40.500254,-74.4257,219,"$201,774 "
821,WESTVILLE BORO,40.500254,-74.4257,31,"$138,364 "
822,WOODBURY CITY,40.500254,-74.4257,91,"$144,488 "
823,WOODBURY HEIGHTS BORO,40.500254,-74.4257,35,"$195,849 "
824,WOOLWICH TWP,40.500254,-74.4257,132,"$326,611 "
901,BAYONNE CITY,40.666552,-74.11768,413,"$396,965 "
902,EAST NEWARK BORO,40.656302,-74.30371,8,"$356,586 "
903,GUTTENBERG TOWN,40.80495,-74.2047,145,"$393,078 "
904,HARRISON TOWN,40.745951,-74.15509,69,"$429,088 "
905,HOBOKEN CITY,40.744851,-74.03294,760,"$836,236 "
906,JERSEY CITY CITY,40.744851,-74.03294,"1,696","$504,526 "
907,KEARNY TOWN,40.744851,-74.03294,105,"$355,280 "
908,NORTH BERGEN TWP,40.51057,-74.72472,351,"$384,971 "
909,SECAUCUS TOWN,40.430006,-74.417344,157,"$449,896 "
910,UNION CITY CITY,40.500254,-74.4257,207,"$393,072 "
911,WEEHAWKEN TWP,40.500254,-74.4257,149,"$866,556 "
912,WEST NEW YORK TOWN,40.500254,-74.4257,177,"$355,417 "
1001,ALEXANDRIA TWP,40.5908,-75.0261,39,"$432,703 "
1002,BETHLEHEM TWP,40.666552,-74.11768,41,"$417,227 "
1003,BLOOMSBURY BORO,40.803,-74.18895,15,"$234,600 "
1004,CALIFON BORO,40.848999,-74.27917,8,"$341,438 "
1005,CLINTON TOWN,40.879699,-74.14263,10,"$377,800 "
1006,CLINTON TWP,40.879699,-74.14263,147,"$422,654 "
1007,DELAWARE TWP,40.656302,-74.30371,35,"$397,704 "
1008,EAST AMWELL TWP,40.656302,-74.30371,32,"$450,744 "
1009,FLEMINGTON BORO,40.641852,-74.38533,9,"$292,347 "
1010,FRANKLIN TWP,40.849879,-73.97501,13,"$432,231 "
1011,FRENCHTOWN BORO,40.849879,-73.97501,10,"$302,955 "
1012,GLEN GARDNER BORO,40.650802,-74.32351,30,"$213,043 "
1013,HAMPTON BORO,40.80495,-74.2047,13,"$293,927 "
1014,HIGH BRIDGE BORO,40.745951,-74.15509,7,"$220,971 "
1015,HOLLAND TWP,40.744851,-74.03294,48,"$334,701 "
1016,KINGWOOD TWP,40.744851,-74.03294,37,"$386,398 "
1017,LAMBERTVILLE CITY,40.744851,-74.03294,23,"$387,643 "
1018,LEBANON BORO,40.744851,-74.03294,12,"$272,192 "
1019,LEBANON TWP,40.744851,-74.03294,44,"$412,839 "
1020,MILFORD BORO,40.587606,-75.10402,8,"$267,906 "
1021,RARITAN TWP,40.571302,-74.6374,296,"$393,660 "
1022,READINGTON TWP,40.563654,-74.949409,184,"$414,348 "
1023,STOCKTON BORO,40.500254,-74.4257,2,"$350,000 "
1024,TEWKSBURY TWP,40.500254,-74.4257,57,"$683,868 "
1025,UNION TWP,40.500254,-74.4257,63,"$345,660 "
1026,WEST AMWELL TWP,40.500254,-74.4257,10,"$448,390 "
1101,EAST WINDSOR TWP,40.770933,-74.20589,270,"$271,658 "
1102,EWING TWP,40.827499,-74.28091,139,"$206,275 "
1103,HAMILTON TWP,40.80495,-74.2047,597,"$233,405 "
1104,HIGHTSTOWN BORO,40.745951,-74.15509,37,"$226,699 "
1105,HOPEWELL BORO,40.744851,-74.03294,19,"$493,316 "
1106,HOPEWELL TWP,40.744851,-74.03294,199,"$513,400 "
1107,LAWRENCE TWP,40.744851,-74.03294,305,"$324,023 "
1108,PENNINGTON BORO,40.461851,-74.30343,44,"$501,822 "
1111,TRENTON CITY,40.500254,-74.4257,245,"$67,892 "
1112,ROBBINSVILLE TWP,40.563654,-74.949409,216,"$401,173 "
1113,WEST WINDSOR TWP,40.500254,-74.4257,303,"$594,193 "
1114,PRINCETON,40.583035,-74.96224,204,"$950,143 "
1201,CARTERET BORO,40.582504,-74.22997,193,"$299,745 "
1202,CRANBURY TWP,40.879699,-74.14263,39,"$661,713 "
1203,DUNELLEN BORO,40.656302,-74.30371,30,"$308,447 "
1204,EAST BRUNSWICK TWP,40.656302,-74.30371,579,"$374,269 "
1205,EDISON TWP,40.830733,-73.97334,844,"$395,669 "
1206,HELMETTA BORO,40.745951,-74.15509,31,"$240,910 "
1207,HIGHLAND PARK BORO,40.745951,-74.15509,82,"$352,229 "
1208,JAMESBURG BORO,40.744851,-74.03294,52,"$227,357 "
1209,METUCHEN BORO,40.502477,-74.650023,132,"$438,961 "
1210,MIDDLESEX BORO,40.574552,-74.50187,165,"$308,760 "
1211,MILLTOWN BORO,40.451105,-74.43938,86,"$335,231 "
1212,MONROE TWP,40.389428,-74.54329,706,"$393,090 "
1213,NEW BRUNSWICK CITY,40.51057,-74.72472,89,"$310,298 "
1214,NORTH BRUNSWICK TWP,40.51057,-74.72472,292,"$324,606 "
1215,OLD BRIDGE TWP,40.51057,-74.72472,725,"$355,035 "
1216,PERTH AMBOY CITY,40.535304,-74.31104,139,"$261,695 "
1217,PISCATAWAY TWP,40.689123,-75.17243,154,"$336,353 "
1218,PLAINSBORO TWP,40.583035,-74.96224,254,"$424,683 "
1219,SAYREVILLE BORO,40.430006,-74.417344,402,"$324,986 "
1220,SOUTH AMBOY CITY,40.469606,-74.27669,98,"$327,012 "
1221,SOUTH BRUNSWICK TWP,40.553803,-74.52976,427,"$411,148 "
1222,SOUTH PLAINFIELD BORO,40.553803,-74.52976,216,"$352,392 "
1223,SOUTH RIVER BORO,40.445006,-74.38179,113,"$306,951 "
1224,SPOTSWOOD BORO,40.39159,-74.39329,72,"$297,607 "
1225,WOODBRIDGE TWP,40.500254,-74.4257,712,"$296,082 "
1301,ABERDEEN TWP,40.4171,-74.2221,81,"$304,597 "
1302,ALLENHURST BORO,40.2362,-74.0007,1,"$850,000 "
1303,ALLENTOWN BORO,40.1779,-74.5835,14,"$331,871 "
1304,ASBURY PARK CITY,40.2204,-74.0121,63,"$367,243 "
1305,ATLANTIC HIGHLANDS BORO,40.4129,-74.0329,37,"$434,691 "
1306,AVON BY THE SEA BORO,40.578996,-74.27987,25,"$958,002 "
1307,BELMAR BORO,40.666552,-74.11768,72,"$633,692 "
1308,BRADLEY BEACH BORO,40.912798,-74.41516,42,"$665,855 "
1309,BRIELLE BORO,40.912798,-74.41516,23,"$603,127 "
1310,COLTS NECK TOWNSHIP,40.879699,-74.14263,39,"$757,405 "
1311,DEAL BORO,40.656302,-74.30371,6,"$3,855,000 "
1312,EATONTOWN BORO,40.770933,-74.20589,55,"$400,144 "
1313,ENGLISHTOWN BORO,40.830733,-73.97334,7,"$241,599 "
1314,FAIR HAVEN BORO,40.827499,-74.28091,30,"$843,946 "
1315,FARMINGDALE BORO,40.641852,-74.38533,3,"$314,833 "
1316,FREEHOLD BORO,40.849879,-73.97501,45,"$270,789 "
1317,FREEHOLD TWP,40.849879,-73.97501,138,"$407,460 "
1318,HAZLET TWP,40.745951,-74.15509,77,"$342,074 "
1319,HIGHLANDS BORO,40.745951,-74.15509,92,"$300,270 "
1320,HOLMDEL TWP,40.744851,-74.03294,77,"$727,799 "
1321,HOWELL TWP,40.744851,-74.03294,202,"$362,347 "
1322,INTERLAKEN BORO,40.744851,-74.03294,1,"$995,000 "
1323,KEANSBURG BORO,40.744851,-74.03294,70,"$181,386 "
1324,KEYPORT BORO,40.744851,-74.03294,18,"$309,679 "
1325,LITTLE SILVER BORO,40.850621,-74.04112,47,"$702,315 "
1326,LOCH ARBOUR VILLAGE,40.850621,-74.04112,0,$0 
1327,LONG BRANCH CITY,40.876349,-74.65769,136,"$481,007 "
1328,MANALAPAN TWP,40.788599,-74.78295,198,"$458,991 "
1329,MANASQUAN BORO,40.788599,-74.78295,94,"$753,334 "
1330,MARLBORO TWP,40.502477,-74.650023,464,"$550,101 "
1331,MATAWAN BORO,40.502477,-74.650023,36,"$346,154 "
1332,MIDDLETOWN TWP,40.574552,-74.50187,273,"$445,713 "
1333,MILLSTONE TWP,40.587606,-75.10402,92,"$597,680 "
1334,MONMOUTH BEACH BORO,40.451105,-74.43938,29,"$748,207 "
1335,NEPTUNE TWP,40.389428,-74.54329,132,"$346,784 "
1336,NEPTUNE CITY BORO,40.389428,-74.54329,15,"$306,093 "
1337,OCEAN TWP,40.51057,-74.72472,129,"$573,075 "
1338,OCEANPORT BORO,40.51057,-74.72472,30,"$550,027 "
1339,RED BANK BORO,40.563654,-74.949409,60,"$395,834 "
1340,ROOSEVELT BORO,40.563654,-74.949409,2,"$252,500 "
1341,RUMSON BORO,40.563654,-74.949409,38,"$1,307,237 "
1342,SEA BRIGHT BORO,40.430006,-74.417344,21,"$551,357 "
1343,SEA GIRT BORO,40.430006,-74.417344,12,"$1,339,083 "
1344,SHREWSBURY BORO,40.430006,-74.417344,22,"$501,667 "
1345,SHREWSBURY TWP,40.430006,-74.417344,0,$0 
1346,LAKE COMO BORO,40.744851,-74.03294,19,"$441,574 "
1347,SPRING LAKE BORO,40.39159,-74.39329,29,"$1,798,752 "
1348,SPRING LAKE HEIGHTS BOR,40.39159,-74.39329,33,"$508,864 "
1349,TINTON FALLS BORO,40.500254,-74.4257,88,"$374,952 "
1350,UNION BEACH BORO,40.500254,-74.4257,25,"$323,032 "
1351,UPPER FREEHOLD TWP,40.500254,-74.4257,13,"$531,692 "
1352,WALL TWP,40.500254,-74.4257,263,"$526,096 "
1353,WEST LONG BRANCH BORO,40.500254,-74.4257,40,"$621,255 "
1401,BOONTON TOWN,40.912798,-74.41516,83,"$407,506 "
1402,BOONTON TWP,40.912798,-74.41516,53,"$558,047 "
1403,BUTLER BORO,40.912798,-74.41516,96,"$341,540 "
1404,CHATHAM BORO,40.855854,-74.22898,95,"$830,281 "
1405,CHATHAM TWP,40.855854,-74.22898,149,"$1,058,411 "
1406,CHESTER BORO,40.855854,-74.22898,9,"$544,611 "
1407,CHESTER TWP,40.855854,-74.22898,86,"$744,581 "
1408,DENVILLE TWP,40.656302,-74.30371,209,"$445,444 "
1409,DOVER TOWN,40.656302,-74.30371,80,"$263,568 "
1410,EAST HANOVER TWP,40.656302,-74.30371,34,"$503,253 "
1411,FLORHAM PARK BORO,40.641852,-74.38533,102,"$700,512 "
1412,HANOVER TWP,40.80495,-74.2047,130,"$499,045 "
1413,HARDING TWP,40.80495,-74.2047,37,"$1,231,781 "
1414,JEFFERSON TWP,40.744851,-74.03294,71,"$354,382 "
1415,KINNELON BORO,40.744851,-74.03294,96,"$626,951 "
1416,LINCOLN PARK BORO,41.007389,-74.04247,117,"$336,550 "
1417,MADISON BORO,40.788599,-74.78295,116,"$844,128 "
1418,MENDHAM BORO,40.502477,-74.650023,81,"$677,928 "
1419,MENDHAM TWP,40.502477,-74.650023,78,"$912,557 "
1420,MINE HILL TWP,40.451105,-74.43938,50,"$302,556 "
1421,MONTVILLE TWP,40.389428,-74.54329,216,"$610,201 "
1422,MORRIS TWP,40.389428,-74.54329,233,"$620,765 "
1423,MORRIS PLAINS BORO,40.389428,-74.54329,77,"$492,127 "
1424,MORRISTOWN TOWN,40.389428,-74.54329,68,"$499,068 "
1425,MOUNTAIN LAKES BORO,40.389428,-74.54329,58,"$838,375 "
